                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4489,                  5.957,                 4.8962,                      0,                      0,                      0,                      0,                 2.6845,                 5.6113,                 4.1585,                  5e-05,                  5e-05,                  5e-05
                      2,                 3.4583,                 5.7762,                 4.6203,                      0,                      0,                      0,                      0,                 2.6856,                 5.6143,                 4.1582,             0.00010995,             0.00010995,             0.00010995
                      3,                 3.4899,                 5.5031,                 4.4861,                      0,                      0,                      0,                      0,                 2.6869,                  5.618,                 4.1585,             0.00016983,             0.00016983,             0.00016983
                      4,                 3.5821,                 5.5587,                 4.3172,                      0,                      0,                      0,                      0,                  2.689,                 5.6216,                 4.1594,             0.00022966,             0.00022966,             0.00022966
                      5,                 3.6247,                 5.2984,                  4.258,                      0,                      0,                      0,                      0,                 2.6917,                 5.6223,                 4.1613,             0.00028943,             0.00028943,             0.00028943
                      6,                 3.2893,                 5.2577,                 4.2189,                      0,                      0,                      0,                      0,                 2.6949,                 5.6154,                 4.1642,             0.00034913,             0.00034913,             0.00034913
                      7,                 3.3806,                  5.078,                 4.1176,                      0,                      0,                      0,                      0,                 2.6997,                 5.5917,                 4.1686,             0.00040878,             0.00040878,             0.00040878
                      8,                 3.3456,                 4.9797,                 4.0439,                      0,                      0,                      0,                      0,                 2.7063,                 5.5416,                 4.1751,             0.00046837,             0.00046837,             0.00046837
                      9,                 3.0898,                  4.754,                 3.9078,                      0,                      0,                      0,                      0,                 2.7089,                 5.5076,                 4.1857,              0.0005279,              0.0005279,              0.0005279
                     10,                 3.1755,                 4.6593,                 3.7881,                      0,                      0,                      0,                      0,                  2.709,                 5.4712,                 4.1944,             0.00058737,             0.00058737,             0.00058737
                     11,                 3.1058,                 4.6005,                 3.6818,                      0,                      0,                      0,                      0,                 2.7055,                 5.4523,                 4.1999,             0.00064678,             0.00064678,             0.00064678
                     12,                 2.9224,                 4.5308,                 3.5348,                      0,                      0,                      0,                      0,                 2.6894,                 5.4466,                 4.1933,             0.00070613,             0.00070613,             0.00070613
                     13,                 3.1175,                 4.2605,                 3.4925,                      0,                      0,                      0,                      0,                 2.6726,                 5.5143,                 4.1788,             0.00076543,             0.00076543,             0.00076543
                     14,                 2.9078,                 4.0124,                 3.3188,                      0,                      0,                      0,                      0,                 2.6335,                 5.4897,                   4.12,             0.00082466,             0.00082466,             0.00082466
                     15,                 2.8298,                 4.0505,                 3.3957,                      0,                      0,                      0,                      0,                 2.6164,                 5.4411,                  4.078,             0.00088383,             0.00088383,             0.00088383
                     16,                 2.6904,                 3.7694,                 3.2055,                      0,                      0,                      0,                      0,                 2.6142,                 5.3627,                  4.024,             0.00094295,             0.00094295,             0.00094295
                     17,                 2.8802,                 3.9495,                 3.2033,                      0,                      0,                      0,                      0,                 2.5874,                  5.275,                 3.8287,             0.00099208,             0.00099208,             0.00099208
                     18,                 2.8459,                   3.72,                 3.1108,                      0,                      0,                      0,                      0,                 2.3712,                 5.0191,                  3.278,             0.00099159,             0.00099159,             0.00099159
                     19,                  2.632,                 3.8484,                  3.037,                0.00037,                0.12222,                0.01501,                0.00471,                 2.3754,                 4.9069,                 3.2068,             0.00099109,             0.00099109,             0.00099109
                     20,                 2.7822,                 3.7643,                 3.1822,                0.00084,                0.24444,                0.03559,                0.00933,                 2.3666,                 4.7997,                 3.2739,             0.00099059,             0.00099059,             0.00099059
                     21,                 2.5954,                 3.7205,                 3.0487,                0.00224,                0.66667,                0.10908,                 0.0371,                 2.2055,                  4.539,                 3.1539,              0.0009901,              0.0009901,              0.0009901
                     22,                 2.7345,                 3.5895,                 3.1141,                0.00219,                0.64444,                0.10791,                0.03177,                 2.3272,                 4.6993,                 3.2927,             0.00098961,             0.00098961,             0.00098961
                     23,                 2.6111,                 3.4303,                 3.0464,                0.00164,                0.45556,                0.10077,                0.02603,                 2.3697,                 4.8999,                 3.4626,             0.00098911,             0.00098911,             0.00098911
                     24,                 2.5498,                 3.3783,                 2.9157,                0.00249,                0.67778,                0.15719,                 0.0506,                 2.3104,                 4.6582,                 3.2526,             0.00098861,             0.00098861,             0.00098861
                     25,                 2.4918,                 3.3873,                 2.9174,                0.86344,                0.04834,                0.17726,                0.06549,                 2.2496,                 4.3374,                 3.1073,             0.00098812,             0.00098812,             0.00098812
                     26,                  2.416,                 3.1862,                 2.9249,                0.86305,                0.22203,                0.36404,                0.15906,                  2.205,                  4.365,                 2.8586,             0.00098763,             0.00098763,             0.00098763
                     27,                 2.4623,                 3.2425,                 2.9397,                0.74808,                0.18889,                0.30777,                0.10478,                  2.359,                 7.3317,                 2.9651,             0.00098713,             0.00098713,             0.00098713
                     28,                 2.3807,                 3.2387,                 2.7783,                0.27642,                0.65556,                0.25509,                0.07861,                 2.6364,                 36.832,                 3.5746,             0.00098664,             0.00098664,             0.00098664
                     29,                 2.3483,                 3.0959,                 2.8075,                 0.2414,                0.63333,                0.29761,                0.09221,                 2.7946,                  27.21,                 3.4354,             0.00098614,             0.00098614,             0.00098614
                     30,                 2.2088,                 3.0971,                 2.7546,                0.83038,                0.23333,                0.39794,                0.14307,                 2.5136,                 4.8851,                 2.7179,             0.00098565,             0.00098565,             0.00098565
                     31,                 2.1894,                 2.9755,                 2.7489,                0.66028,                    0.3,                0.37013,                0.14118,                 2.3796,                 3.8615,                 2.6716,             0.00098515,             0.00098515,             0.00098515
                     32,                 2.2945,                 3.1584,                 2.7783,                0.45405,                0.41119,                0.25363,                0.10285,                 2.0391,                 3.8264,                    2.8,             0.00098466,             0.00098466,             0.00098466
                     33,                 2.1923,                 3.0446,                 2.6814,                0.45643,                0.38078,                0.37324,                 0.1753,                 2.0261,                 4.7508,                 2.7983,             0.00098416,             0.00098416,             0.00098416
                     34,                 2.1751,                 2.9255,                  2.687,                0.67647,                0.31823,                0.51938,                0.23368,                  2.031,                 4.6114,                 2.7674,             0.00098367,             0.00098367,             0.00098367
                     35,                 2.2031,                 2.7698,                 2.6459,                0.68954,                0.33911,                0.43294,                0.18314,                 2.1187,                 3.5993,                 2.7879,             0.00098317,             0.00098317,             0.00098317
                     36,                 2.1724,                 2.8917,                 2.6414,                0.36854,                0.47758,                0.44484,                0.16535,                 2.5526,                 3.4684,                  2.702,             0.00098268,             0.00098268,             0.00098268
                     37,                  2.221,                 2.7421,                 2.6181,                 0.3068,                0.62096,                0.46782,                0.19754,                  2.325,                 4.7042,                 2.5676,             0.00098218,             0.00098218,             0.00098218
                     38,                 2.1062,                 2.8417,                 2.5573,                0.67427,                 0.3308,                0.46527,                0.17299,                 2.2073,                 3.1943,                 2.3945,             0.00098169,             0.00098169,             0.00098169
                     39,                 2.2699,                 2.7906,                  2.563,                0.66487,                0.31111,                0.51026,                0.19209,                 2.1291,                 3.0298,                 2.3307,             0.00098119,             0.00098119,             0.00098119
                     40,                 2.1614,                 2.6858,                 2.5716,                0.45895,                0.58709,                0.55598,                0.26556,                  1.963,                 3.1094,                 2.2548,             0.00098069,             0.00098069,             0.00098069
                     41,                 2.0427,                 2.7045,                 2.4459,                0.48434,                0.47084,                0.54992,                0.26615,                 1.9163,                 3.0706,                 2.3372,              0.0009802,              0.0009802,              0.0009802
